                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5879,                 1.9692,                 1.0824,                0.36642,                0.33586,                0.31649,                0.17198,                 1.3458,                  1.152,                 1.0457,              0.0033299,              0.0033299,              0.0033299
                      2,                 1.5328,                 1.4041,                  1.049,                 0.4374,                0.37721,                0.36357,                 0.2003,                 1.3495,                 1.0321,                 1.0548,              0.0065313,              0.0065313,              0.0065313
                      3,                 1.5527,                 1.3419,                 1.0533,                0.47745,                0.34512,                0.35196,                0.18881,                  1.388,                 1.0655,                   1.06,              0.0096007,              0.0096007,              0.0096007
                      4,                 1.5479,                  1.281,                 1.0564,                0.49568,                0.36756,                0.37559,                 0.2096,                 1.3704,                 1.0448,                 1.0596,               0.009406,               0.009406,               0.009406
                      5,                 1.5064,                 1.1924,                   1.04,                0.53956,                0.38855,                0.41182,                0.23079,                 1.3393,                0.94007,                 1.0551,               0.009406,               0.009406,               0.009406
                      6,                 1.4743,                 1.1406,                 1.0325,                0.54811,                0.41532,                0.43501,                0.24644,                 1.3124,                0.89923,                 1.0434,               0.009208,               0.009208,               0.009208
                      7,                 1.4581,                 1.1111,                 1.0256,                0.56784,                0.40762,                0.44536,                0.25288,                 1.3292,                0.90288,                 1.0451,                0.00901,                0.00901,                0.00901
                      8,                 1.4384,                 1.0788,                 1.0166,                0.59681,                0.43489,                0.47262,                0.27071,                 1.2808,                0.84142,                 1.0251,               0.008812,               0.008812,               0.008812
                      9,                 1.4174,                 1.0544,                 1.0102,                0.59344,                0.43714,                 0.4733,                0.27204,                 1.2745,                0.83312,                 1.0251,               0.008614,               0.008614,               0.008614
                     10,                 1.4061,                 1.0383,                 1.0066,                0.58648,                0.44096,                0.47466,                0.27472,                 1.2681,                0.82366,                 1.0155,               0.008416,               0.008416,               0.008416
                     11,                  1.393,                 1.0198,                 1.0026,                0.66015,                0.43875,                 0.4935,                 0.2883,                 1.2529,                0.80176,                 1.0153,               0.008218,               0.008218,               0.008218
                     12,                 1.3839,                 1.0091,                 1.0004,                0.61964,                 0.4608,                0.50578,                0.29404,                 1.2617,                0.79555,                 1.0184,                0.00802,                0.00802,                0.00802
                     13,                 1.3783,                 1.0003,                0.99742,                0.61845,                0.46897,                0.51375,                 0.3005,                 1.2467,                0.77859,                 1.0075,               0.007822,               0.007822,               0.007822
                     14,                 1.3702,                0.98693,                0.99493,                0.64656,                0.45558,                0.51471,                0.30409,                 1.2373,                0.77451,                 1.0041,               0.007624,               0.007624,               0.007624
                     15,                   1.36,                0.97584,                0.99009,                0.64577,                0.46889,                 0.5244,                0.30872,                  1.228,                0.76164,                 1.0011,               0.007426,               0.007426,               0.007426
                     16,                 1.3498,                0.96242,                0.98828,                0.65363,                0.47985,                0.53042,                 0.3126,                 1.2239,                 0.7552,                 1.0025,               0.007228,               0.007228,               0.007228
                     17,                  1.342,                0.95618,                0.98541,                0.64665,                0.46924,                0.52637,                0.31269,                 1.2154,                0.74634,                0.99765,                0.00703,                0.00703,                0.00703
                     18,                 1.3403,                0.94468,                0.98394,                0.67159,                0.47376,                0.53121,                0.31696,                 1.2034,                 0.7424,                0.99443,               0.006832,               0.006832,               0.006832
                     19,                 1.3336,                0.94193,                0.98229,                0.65223,                0.48894,                0.53829,                0.32016,                 1.2078,                0.73299,                0.99362,               0.006634,               0.006634,               0.006634
                     20,                 1.3254,                0.93401,                0.97909,                0.67208,                0.48663,                0.54341,                0.32432,                 1.2005,                0.72837,                0.98804,               0.006436,               0.006436,               0.006436
                     21,                 1.3223,                0.93045,                0.97752,                0.64434,                0.49992,                0.54628,                0.32867,                 1.1936,                0.71917,                 0.9901,               0.006238,               0.006238,               0.006238
                     22,                 1.3189,                0.92435,                0.97522,                0.68505,                0.49385,                0.55186,                0.33076,                 1.1938,                0.71028,                0.98864,                0.00604,                0.00604,                0.00604
                     23,                 1.3138,                 0.9163,                0.97262,                0.68392,                0.49655,                0.55985,                0.33648,                 1.1865,                0.70797,                0.98397,               0.005842,               0.005842,               0.005842
                     24,                 1.3116,                0.91257,                0.97402,                0.67192,                0.48975,                0.55824,                 0.3357,                 1.1824,                0.70077,                0.98049,               0.005644,               0.005644,               0.005644
                     25,                 1.3019,                0.90433,                0.97203,                0.70514,                0.49137,                0.56301,                0.33949,                 1.1806,                0.69992,                0.97951,               0.005446,               0.005446,               0.005446
                     26,                 1.2962,                0.90059,                0.96936,                0.66993,                0.50465,                0.56382,                0.34098,                 1.1737,                0.69604,                0.97774,               0.005248,               0.005248,               0.005248
                     27,                 1.2917,                0.89192,                0.96694,                0.70417,                0.50151,                0.56975,                0.34388,                 1.1749,                0.69168,                0.97737,                0.00505,                0.00505,                0.00505
                     28,                 1.2941,                0.89345,                 0.9681,                  0.697,                 0.5103,                0.57222,                0.34744,                 1.1662,                0.69152,                0.97307,               0.004852,               0.004852,               0.004852
                     29,                 1.2885,                0.88547,                  0.966,                0.65934,                 0.5206,                0.57431,                 0.3479,                 1.1656,                0.68693,                0.97398,               0.004654,               0.004654,               0.004654
